name,developer,location,min_price,max_price,avg_price,min_area,max_area,avg_area,min_bedrooms,max_bedrooms,delivery_year,project_url,unit_count,price_range
Kynd Residence,Melee Developments,North Coast,14750004,25000010,17151972.789473683,38,38,38.0,1,1,2025.0,https://www.propertyhub.site/properties/projects/08efdr17kmke95y2f1b9?page=1,19,"14,750,004 - 25,000,010"
Celebration West beach,Amer Group,North Coast,5493000,7263000,6378000.0,51,75,63.0,1,2,2025.0,https://www.propertyhub.site/properties/projects/08he4lr9n4wun38rfsyx?page=1,2,"5,493,000 - 7,263,000"
JIRAN,A plus  Developer,6th Of October,2500000,7000000,4675000.0,66,181,121.25,1,4,2025.0,https://www.propertyhub.site/properties/projects/0bb6u2cwggealw0dbya5?page=1,4,"2,500,000 - 7,000,000"
Palm East,TG Developments,New Cairo,4517250,21016975,9794971.0,72,330,137.52,1,5,2025.0,https://www.propertyhub.site/properties/projects/0gu6dgeb40xecs97l45s?page=1,25,"4,517,250 - 21,016,975"
T pearl,torec,6th Of October,16507200,37131266,21943859.777777776,3,96,46.5,4,7,2025.0,https://www.propertyhub.site/properties/projects/0jwk8bn1ms6ahe40yq6r?page=1,18,"16,507,200 - 37,131,266"
Solay,Living Yard,New Cairo,16537500,40063358,26299092.4,5,167,94.8,2,4,2025.0,https://www.propertyhub.site/properties/projects/0l1yd32ju2kgidfbh5vp?page=1,5,"16,537,500 - 40,063,358"
La maison,Somow,6th Of October,10170000,10170000,10170000.0,247,247,247.0,4,4,2025.0,https://www.propertyhub.site/properties/projects/0lc9i90fk8rb17lkzrdf?page=1,1,"10,170,000 - 10,170,000"
SQ1,HDP,New Cairo,10685220,39102000,23005999.43902439,72,245,149.85365853658536,1,4,2025.0,https://www.propertyhub.site/properties/projects/0lsju94g5lknvk9hanjq?page=1,41,"10,685,220 - 39,102,000"
FLW,ZG Developments,6th Of October,2152000,3650000,3066980.0,68,132,104.4,1,3,2025.0,https://www.propertyhub.site/properties/projects/0scpg7msuug0lewg10se?page=1,5,"2,152,000 - 3,650,000"
solimar green 4,solimar,6th Of October,8888888,8888888,8888888.0,334,334,334.0,3,3,2025.0,https://www.propertyhub.site/properties/projects/12ggoqz6b9a33ubpwvz8?page=1,1,"8,888,888 - 8,888,888"
Orla Residence,I capital,New Cairo,5570220,12922250,10214102.0,86,185,151.0,1,3,2025.0,https://www.propertyhub.site/properties/projects/13s9qc8tlya9v0qc3pdc?page=1,5,"5,570,220 - 12,922,250"
